 log g Teff  log Z Vel   a(CBBED)
 log g Teff  log Z Vel   b(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 3.00  8000. -5.0  2.0   0.2449
 3.00  8000. -5.0  2.0   0.2358
 3.00  8000. -5.0  2.0   0.0049
 3.50  8000. -5.0  2.0   0.2572
 3.50  8000. -5.0  2.0   0.2232
 3.50  8000. -5.0  2.0   0.0032
 4.00  8000. -5.0  2.0   0.2659
 4.00  8000. -5.0  2.0   0.2155
 4.00  8000. -5.0  2.0   0.0021
 4.50  8000. -5.0  2.0   0.2708
 4.50  8000. -5.0  2.0   0.2090
 4.50  8000. -5.0  2.0   0.0015
 5.00  8000. -5.0  2.0   0.1598
 5.00  8000. -5.0  2.0   0.3018
 5.00  8000. -5.0  2.0   0.0077
 2.00  8250. -5.0  2.0   0.2024
 2.00  8250. -5.0  2.0   0.2840
 2.00  8250. -5.0  2.0   0.0120
 2.50  8250. -5.0  2.0   0.2093
 2.50  8250. -5.0  2.0   0.2672
 2.50  8250. -5.0  2.0   0.0092
 3.00  8250. -5.0  2.0   0.2202
 3.00  8250. -5.0  2.0   0.2504
 3.00  8250. -5.0  2.0   0.0069
 3.50  8250. -5.0  2.0   0.2317
 3.50  8250. -5.0  2.0   0.2360
 3.50  8250. -5.0  2.0   0.0051
 4.00  8250. -5.0  2.0   0.2422
 4.00  8250. -5.0  2.0   0.2285
 4.00  8250. -5.0  2.0   0.0034
 4.50  8250. -5.0  2.0   0.2497
 4.50  8250. -5.0  2.0   0.2222
 4.50  8250. -5.0  2.0   0.0023
 5.00  8250. -5.0  2.0   0.1526
 5.00  8250. -5.0  2.0   0.3027
 5.00  8250. -5.0  2.0   0.0078
 1.50  8500. -5.0  2.0   0.1941
 1.50  8500. -5.0  2.0   0.3025
 1.50  8500. -5.0  2.0   0.0157
 2.00  8500. -5.0  2.0   0.1881
 2.00  8500. -5.0  2.0   0.2893
 2.00  8500. -5.0  2.0   0.0139
 2.50  8500. -5.0  2.0   0.1919
 2.50  8500. -5.0  2.0   0.2740
 2.50  8500. -5.0  2.0   0.0112
 3.00  8500. -5.0  2.0   0.1995
 3.00  8500. -5.0  2.0   0.2604
 3.00  8500. -5.0  2.0   0.0087
 3.50  8500. -5.0  2.0   0.2100
 3.50  8500. -5.0  2.0   0.2470
 3.50  8500. -5.0  2.0   0.0068
 4.00  8500. -5.0  2.0   0.2202
 4.00  8500. -5.0  2.0   0.2365
 4.00  8500. -5.0  2.0   0.0052
 4.50  8500. -5.0  2.0   0.2293
 4.50  8500. -5.0  2.0   0.2323
 4.50  8500. -5.0  2.0   0.0035
 5.00  8500. -5.0  2.0   0.2325
 5.00  8500. -5.0  2.0   0.2301
 5.00  8500. -5.0  2.0   0.0025
 2.00  8750. -5.0  2.0   0.1788
 2.00  8750. -5.0  2.0   0.2913
