 log g Teff  log Z Vel   a(CBBED)
 log g Teff  log Z Vel   b(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 5.00  6750.  0.0  8.0   0.1927
 5.00  6750.  0.0  8.0   0.3225
 5.00  6750.  0.0  8.0   0.0150
 0.50  7000.  0.0  8.0   0.2954
 0.50  7000.  0.0  8.0   0.2609
 0.50  7000.  0.0  8.0   0.0098
 1.00  7000.  0.0  8.0   0.2864
 1.00  7000.  0.0  8.0   0.2604
 1.00  7000.  0.0  8.0   0.0104
 1.50  7000.  0.0  8.0   0.2851
 1.50  7000.  0.0  8.0   0.2574
 1.50  7000.  0.0  8.0   0.0104
 2.00  7000.  0.0  8.0   0.2736
 2.00  7000.  0.0  8.0   0.2656
 2.00  7000.  0.0  8.0   0.0105
 2.50  7000.  0.0  8.0   0.2477
 2.50  7000.  0.0  8.0   0.2777
 2.50  7000.  0.0  8.0   0.0143
 3.00  7000.  0.0  8.0   0.1948
 3.00  7000.  0.0  8.0   0.3125
 3.00  7000.  0.0  8.0   0.0208
 3.50  7000.  0.0  8.0   0.1687
 3.50  7000.  0.0  8.0   0.3361
 3.50  7000.  0.0  8.0   0.0200
 4.00  7000.  0.0  8.0   0.1699
 4.00  7000.  0.0  8.0   0.3347
 4.00  7000.  0.0  8.0   0.0184
 4.50  7000.  0.0  8.0   0.1742
 4.50  7000.  0.0  8.0   0.3297
 4.50  7000.  0.0  8.0   0.0170
 5.00  7000.  0.0  8.0   0.1778
 5.00  7000.  0.0  8.0   0.3257
 5.00  7000.  0.0  8.0   0.0157
 0.50  7250.  0.0  8.0   0.2869
 0.50  7250.  0.0  8.0   0.2698
 0.50  7250.  0.0  8.0   0.0104
 1.00  7250.  0.0  8.0   0.2687
 1.00  7250.  0.0  8.0   0.2736
 1.00  7250.  0.0  8.0   0.0115
 1.50  7250.  0.0  8.0   0.2643
 1.50  7250.  0.0  8.0   0.2709
 1.50  7250.  0.0  8.0   0.0115
 2.00  7250.  0.0  8.0   0.2655
 2.00  7250.  0.0  8.0   0.2662
 2.00  7250.  0.0  8.0   0.0111
 2.50  7250.  0.0  8.0   0.2520
 2.50  7250.  0.0  8.0   0.2757
 2.50  7250.  0.0  8.0   0.0111
 3.00  7250.  0.0  8.0   0.2211
 3.00  7250.  0.0  8.0   0.2908
 3.00  7250.  0.0  8.0   0.0154
 3.50  7250.  0.0  8.0   0.1688
 3.50  7250.  0.0  8.0   0.3252
 3.50  7250.  0.0  8.0   0.0214
 4.00  7250.  0.0  8.0   0.1567
 4.00  7250.  0.0  8.0   0.3377
 4.00  7250.  0.0  8.0   0.0192
 4.50  7250.  0.0  8.0   0.1584
 4.50  7250.  0.0  8.0   0.3343
 4.50  7250.  0.0  8.0   0.0182
 5.00  7250.  0.0  8.0   0.1636
 5.00  7250.  0.0  8.0   0.3291
 5.00  7250.  0.0  8.0   0.0165
 0.50  7500.  0.0  8.0   0.2824
 0.50  7500.  0.0  8.0   0.2757
 0.50  7500.  0.0  8.0   0.0107
 1.00  7500.  0.0  8.0   0.2553
 1.00  7500.  0.0  8.0   0.2828
 1.00  7500.  0.0  8.0   0.0128
 1.50  7500.  0.0  8.0   0.2446
 1.50  7500.  0.0  8.0   0.2828
 1.50  7500.  0.0  8.0   0.0131
 2.00  7500.  0.0  8.0   0.2425
 2.00  7500.  0.0  8.0   0.2793
 2.00  7500.  0.0  8.0   0.0127
 2.50  7500.  0.0  8.0   0.2438
 2.50  7500.  0.0  8.0   0.2750
 2.50  7500.  0.0  8.0   0.0119
 3.00  7500.  0.0  8.0   0.2288
 3.00  7500.  0.0  8.0   0.2858
 3.00  7500.  0.0  8.0   0.0118
 3.50  7500.  0.0  8.0   0.1917
 3.50  7500.  0.0  8.0   0.3071
 3.50  7500.  0.0  8.0   0.0164
 4.00  7500.  0.0  8.0   0.1488
 4.00  7500.  0.0  8.0   0.3354
 4.00  7500.  0.0  8.0   0.0202
 4.50  7500.  0.0  8.0   0.1463
 4.50  7500.  0.0  8.0   0.3373
 4.50  7500.  0.0  8.0   0.0188
 5.00  7500.  0.0  8.0   0.1495
 5.00  7500.  0.0  8.0   0.3328
 5.00  7500.  0.0  8.0   0.0175
 1.00  7750.  0.0  8.0   0.2490
 1.00  7750.  0.0  8.0   0.2864
 1.00  7750.  0.0  8.0   0.0136
 1.50  7750.  0.0  8.0   0.2307
 1.50  7750.  0.0  8.0   0.2891
 1.50  7750.  0.0  8.0   0.0146
 2.00  7750.  0.0  8.0   0.2239
 2.00  7750.  0.0  8.0   0.2875
 2.00  7750.  0.0  8.0   0.0144
 2.50  7750.  0.0  8.0   0.2225
 2.50  7750.  0.0  8.0   0.2844
 2.50  7750.  0.0  8.0   0.0136
 3.00  7750.  0.0  8.0   0.2246
 3.00  7750.  0.0  8.0   0.2800
 3.00  7750.  0.0  8.0   0.0125
 3.50  7750.  0.0  8.0   0.2067
 3.50  7750.  0.0  8.0   0.2933
 3.50  7750.  0.0  8.0   0.0126
 4.00  7750.  0.0  8.0   0.1661
 4.00  7750.  0.0  8.0   0.3171
 4.00  7750.  0.0  8.0   0.0176
 4.50  7750.  0.0  8.0   0.1320
 4.50  7750.  0.0  8.0   0.3375
 4.50  7750.  0.0  8.0   0.0209
 5.00  7750.  0.0  8.0   0.1385
 5.00  7750.  0.0  8.0   0.3346
 5.00  7750.  0.0  8.0   0.0178
 1.00  8000.  0.0  8.0   0.2467
 1.00  8000.  0.0  8.0   0.2878
 1.00  8000.  0.0  8.0   0.0137
 1.50  8000.  0.0  8.0   0.2223
 1.50  8000.  0.0  8.0   0.2915
 1.50  8000.  0.0  8.0   0.0155
 2.00  8000.  0.0  8.0   0.2109
 2.00  8000.  0.0  8.0   0.2903
 2.00  8000.  0.0  8.0   0.0157
 2.50  8000.  0.0  8.0   0.2066
 2.50  8000.  0.0  8.0   0.2878
 2.50  8000.  0.0  8.0   0.0150
 3.00  8000.  0.0  8.0   0.2061
 3.00  8000.  0.0  8.0   0.2847
 3.00  8000.  0.0  8.0   0.0141
 3.50  8000.  0.0  8.0   0.2068
 3.50  8000.  0.0  8.0   0.2824
 3.50  8000.  0.0  8.0   0.0129
 4.00  8000.  0.0  8.0   0.1845
 4.00  8000.  0.0  8.0   0.2999
 4.00  8000.  0.0  8.0   0.0133
 4.50  8000.  0.0  8.0   0.1433
 4.50  8000.  0.0  8.0   0.3269
 4.50  8000.  0.0  8.0   0.0176
 5.00  8000.  0.0  8.0   0.1300
 5.00  8000.  0.0  8.0   0.3346
 5.00  8000.  0.0  8.0   0.0179
 1.00  8250.  0.0  8.0   0.2469
 1.00  8250.  0.0  8.0   0.2878
 1.00  8250.  0.0  8.0   0.0135
 1.50  8250.  0.0  8.0   0.2185
 1.50  8250.  0.0  8.0   0.2920
 1.50  8250.  0.0  8.0   0.0158
 2.00  8250.  0.0  8.0   0.2032
 2.00  8250.  0.0  8.0   0.2899
 2.00  8250.  0.0  8.0   0.0163
 2.50  8250.  0.0  8.0   0.1957
 2.50  8250.  0.0  8.0   0.2869
 2.50  8250.  0.0  8.0   0.0159
 3.00  8250.  0.0  8.0   0.1925
 3.00  8250.  0.0  8.0   0.2846
 3.00  8250.  0.0  8.0   0.0152
 3.50  8250.  0.0  8.0   0.1923
 3.50  8250.  0.0  8.0   0.2822
 3.50  8250.  0.0  8.0   0.0142
 4.00  8250.  0.0  8.0   0.1918
 4.00  8250.  0.0  8.0   0.2822
 4.00  8250.  0.0  8.0   0.0130
 4.50  8250.  0.0  8.0   0.1631
 4.50  8250.  0.0  8.0   0.3060
 4.50  8250.  0.0  8.0   0.0139
 5.00  8250.  0.0  8.0   0.1241
 5.00  8250.  0.0  8.0   0.3307
 5.00  8250.  0.0  8.0   0.0183
 1.50  8500.  0.0  8.0   0.2149
 1.50  8500.  0.0  8.0   0.2945
 1.50  8500.  0.0  8.0   0.0158
 2.00  8500.  0.0  8.0   0.1982
 2.00  8500.  0.0  8.0   0.2897
 2.00  8500.  0.0  8.0   0.0166
 2.50  8500.  0.0  8.0   0.1891
 2.50  8500.  0.0  8.0   0.2846
 2.50  8500.  0.0  8.0   0.0163
 3.00  8500.  0.0  8.0   0.1837
 3.00  8500.  0.0  8.0   0.2814
 3.00  8500.  0.0  8.0   0.0156
 3.50  8500.  0.0  8.0   0.1814
 3.50  8500.  0.0  8.0   0.2791
 3.50  8500.  0.0  8.0   0.0148
 4.00  8500.  0.0  8.0   0.1810
 4.00  8500.  0.0  8.0   0.2776
 4.00  8500.  0.0  8.0   0.0139
 4.50  8500.  0.0  8.0   0.1766
 4.50  8500.  0.0  8.0   0.2823
 4.50  8500.  0.0  8.0   0.0128
 5.00  8500.  0.0  8.0   0.1417
 5.00  8500.  0.0  8.0   0.3119
 5.00  8500.  0.0  8.0   0.0145
 1.50  8750.  0.0  8.0   0.2103
 1.50  8750.  0.0  8.0   0.2991
 1.50  8750.  0.0  8.0   0.0158
 2.00  8750.  0.0  8.0   0.1933
 2.00  8750.  0.0  8.0   0.2918
 2.00  8750.  0.0  8.0   0.0167
 2.50  8750.  0.0  8.0   0.1833
 2.50  8750.  0.0  8.0   0.2843
 2.50  8750.  0.0  8.0   0.0164
 3.00  8750.  0.0  8.0   0.1772
 3.00  8750.  0.0  8.0   0.2788
 3.00  8750.  0.0  8.0   0.0157
 3.50  8750.  0.0  8.0   0.1738
 3.50  8750.  0.0  8.0   0.2752
 3.50  8750.  0.0  8.0   0.0150
 4.00  8750.  0.0  8.0   0.1714
 4.00  8750.  0.0  8.0   0.2737
 4.00  8750.  0.0  8.0   0.0143
 4.50  8750.  0.0  8.0   0.1703
 4.50  8750.  0.0  8.0   0.2733
 4.50  8750.  0.0  8.0   0.0135
 5.00  8750.  0.0  8.0   0.1585
 5.00  8750.  0.0  8.0   0.2863
 5.00  8750.  0.0  8.0   0.0128
 1.50  9000.  0.0  8.0   0.2051
 1.50  9000.  0.0  8.0   0.3051
 1.50  9000.  0.0  8.0   0.0160
 2.00  9000.  0.0  8.0   0.1875
 2.00  9000.  0.0  8.0   0.2958
 2.00  9000.  0.0  8.0   0.0170
 2.50  9000.  0.0  8.0   0.1784
 2.50  9000.  0.0  8.0   0.2852
 2.50  9000.  0.0  8.0   0.0165
 3.00  9000.  0.0  8.0   0.1723
 3.00  9000.  0.0  8.0   0.2774
 3.00  9000.  0.0  8.0   0.0157
 3.50  9000.  0.0  8.0   0.1682
 3.50  9000.  0.0  8.0   0.2722
 3.50  9000.  0.0  8.0   0.0150
 4.00  9000.  0.0  8.0   0.1648
 4.00  9000.  0.0  8.0   0.2698
 4.00  9000.  0.0  8.0   0.0143
 4.50  9000.  0.0  8.0   0.1631
 4.50  9000.  0.0  8.0   0.2682
 4.50  9000.  0.0  8.0   0.0137
 5.00  9000.  0.0  8.0   0.1631
 5.00  9000.  0.0  8.0   0.2666
 5.00  9000.  0.0  8.0   0.0131
 2.00  9250.  0.0  8.0   0.1806
 2.00  9250.  0.0  8.0   0.3012
 2.00  9250.  0.0  8.0   0.0175
 2.50  9250.  0.0  8.0   0.1729
 2.50  9250.  0.0  8.0   0.2878
 2.50  9250.  0.0  8.0   0.0168
 3.00  9250.  0.0  8.0   0.1680
 3.00  9250.  0.0  8.0   0.2773
 3.00  9250.  0.0  8.0   0.0158
 3.50  9250.  0.0  8.0   0.1639
 3.50  9250.  0.0  8.0   0.2703
 3.50  9250.  0.0  8.0   0.0151
 4.00  9250.  0.0  8.0   0.1597
 4.00  9250.  0.0  8.0   0.2670
 4.00  9250.  0.0  8.0   0.0143
 4.50  9250.  0.0  8.0   0.1570
 4.50  9250.  0.0  8.0   0.2647
 4.50  9250.  0.0  8.0   0.0137
 5.00  9250.  0.0  8.0   0.1552
 5.00  9250.  0.0  8.0   0.2632
 5.00  9250.  0.0  8.0   0.0132
 2.00  9500.  0.0  8.0   0.1724
 2.00  9500.  0.0  8.0   0.3074
 2.00  9500.  0.0  8.0   0.0183
 2.50  9500.  0.0  8.0   0.1660
 2.50  9500.  0.0  8.0   0.2918
 2.50  9500.  0.0  8.0   0.0173
 3.00  9500.  0.0  8.0   0.1631
 3.00  9500.  0.0  8.0   0.2784
 3.00  9500.  0.0  8.0   0.0160
 3.50  9500.  0.0  8.0   0.1596
 3.50  9500.  0.0  8.0   0.2697
 3.50  9500.  0.0  8.0   0.0151
 4.00  9500.  0.0  8.0   0.1558
 4.00  9500.  0.0  8.0   0.2648
 4.00  9500.  0.0  8.0   0.0143
 4.50  9500.  0.0  8.0   0.1521
 4.50  9500.  0.0  8.0   0.2620
 4.50  9500.  0.0  8.0   0.0138
 5.00  9500.  0.0  8.0   0.1493
 5.00  9500.  0.0  8.0   0.2601
 5.00  9500.  0.0  8.0   0.0133
 2.00  9750.  0.0  8.0   0.1645
 2.00  9750.  0.0  8.0   0.3122
 2.00  9750.  0.0  8.0   0.0194
 2.50  9750.  0.0  8.0   0.1587
 2.50  9750.  0.0  8.0   0.2957
 2.50  9750.  0.0  8.0   0.0179
 3.00  9750.  0.0  8.0   0.1574
 3.00  9750.  0.0  8.0   0.2804
 3.00  9750.  0.0  8.0   0.0164
 3.50  9750.  0.0  8.0   0.1553
 3.50  9750.  0.0  8.0   0.2699
 3.50  9750.  0.0  8.0   0.0151
 4.00  9750.  0.0  8.0   0.1524
 4.00  9750.  0.0  8.0   0.2633
 4.00  9750.  0.0  8.0   0.0144
 4.50  9750.  0.0  8.0   0.1482
 4.50  9750.  0.0  8.0   0.2600
 4.50  9750.  0.0  8.0   0.0138
 5.00  9750.  0.0  8.0   0.1448
 5.00  9750.  0.0  8.0   0.2578
 5.00  9750.  0.0  8.0   0.0133
 2.00 10000.  0.0  8.0   0.1571
 2.00 10000.  0.0  8.0   0.3156
 2.00 10000.  0.0  8.0   0.0206
 2.50 10000.  0.0  8.0   0.1513
 2.50 10000.  0.0  8.0   0.2988
 2.50 10000.  0.0  8.0   0.0188
 3.00 10000.  0.0  8.0   0.1508
 3.00 10000.  0.0  8.0   0.2829
 3.00 10000.  0.0  8.0   0.0168
 3.50 10000.  0.0  8.0   0.1502
 3.50 10000.  0.0  8.0   0.2709
 3.50 10000.  0.0  8.0   0.0153
 4.00 10000.  0.0  8.0   0.1484
 4.00 10000.  0.0  8.0   0.2629
 4.00 10000.  0.0  8.0   0.0143
 4.50 10000.  0.0  8.0   0.1454
 4.50 10000.  0.0  8.0   0.2580
 4.50 10000.  0.0  8.0   0.0138
 5.00 10000.  0.0  8.0   0.1413
 5.00 10000.  0.0  8.0   0.2556
 5.00 10000.  0.0  8.0   0.0133
 2.00 10250.  0.0  8.0   0.1502
 2.00 10250.  0.0  8.0   0.3181
 2.00 10250.  0.0  8.0   0.0217
 2.50 10250.  0.0  8.0   0.1438
 2.50 10250.  0.0  8.0   0.3013
 2.50 10250.  0.0  8.0   0.0198
 3.00 10250.  0.0  8.0   0.1441
 3.00 10250.  0.0  8.0   0.2851
 3.00 10250.  0.0  8.0   0.0173
 3.50 10250.  0.0  8.0   0.1453
 3.50 10250.  0.0  8.0   0.2718
 3.50 10250.  0.0  8.0   0.0155
 4.00 10250.  0.0  8.0   0.1447
 4.00 10250.  0.0  8.0   0.2627
 4.00 10250.  0.0  8.0   0.0144
 4.50 10250.  0.0  8.0   0.1418
 4.50 10250.  0.0  8.0   0.2573
 4.50 10250.  0.0  8.0   0.0137
 5.00 10250.  0.0  8.0   0.1378
 5.00 10250.  0.0  8.0   0.2543
 5.00 10250.  0.0  8.0   0.0133
 2.00 10500.  0.0  8.0   0.1447
 2.00 10500.  0.0  8.0   0.3192
 2.00 10500.  0.0  8.0   0.0227
 2.50 10500.  0.0  8.0   0.1370
 2.50 10500.  0.0  8.0   0.3023
 2.50 10500.  0.0  8.0   0.0208
 3.00 10500.  0.0  8.0   0.1375
 3.00 10500.  0.0  8.0   0.2862
 3.00 10500.  0.0  8.0   0.0180
 3.50 10500.  0.0  8.0   0.1398
 3.50 10500.  0.0  8.0   0.2725
 3.50 10500.  0.0  8.0   0.0158
 4.00 10500.  0.0  8.0   0.1404
 4.00 10500.  0.0  8.0   0.2626
 4.00 10500.  0.0  8.0   0.0144
 4.50 10500.  0.0  8.0   0.1386
 4.50 10500.  0.0  8.0   0.2563
 4.50 10500.  0.0  8.0   0.0137
 5.00 10500.  0.0  8.0   0.1352
 5.00 10500.  0.0  8.0   0.2525
 5.00 10500.  0.0  8.0   0.0133
 2.00 10750.  0.0  8.0   0.1405
 2.00 10750.  0.0  8.0   0.3197
 2.00 10750.  0.0  8.0   0.0235
 2.50 10750.  0.0  8.0   0.1311
 2.50 10750.  0.0  8.0   0.3023
 2.50 10750.  0.0  8.0   0.0216
 3.00 10750.  0.0  8.0   0.1315
 3.00 10750.  0.0  8.0   0.2861
 3.00 10750.  0.0  8.0   0.0186
 3.50 10750.  0.0  8.0   0.1343
 3.50 10750.  0.0  8.0   0.2728
 3.50 10750.  0.0  8.0   0.0161
 4.00 10750.  0.0  8.0   0.1357
 4.00 10750.  0.0  8.0   0.2628
 4.00 10750.  0.0  8.0   0.0145
 4.50 10750.  0.0  8.0   0.1353
 4.50 10750.  0.0  8.0   0.2556
 4.50 10750.  0.0  8.0   0.0136
 5.00 10750.  0.0  8.0   0.1327
 5.00 10750.  0.0  8.0   0.2509
 5.00 10750.  0.0  8.0   0.0132
 2.50 11000.  0.0  8.0   0.1261
 2.50 11000.  0.0  8.0   0.3014
 2.50 11000.  0.0  8.0   0.0224
 3.00 11000.  0.0  8.0   0.1259
 3.00 11000.  0.0  8.0   0.2851
 3.00 11000.  0.0  8.0   0.0192
 3.50 11000.  0.0  8.0   0.1287
 3.50 11000.  0.0  8.0   0.2722
 3.50 11000.  0.0  8.0   0.0165
 4.00 11000.  0.0  8.0   0.1314
 4.00 11000.  0.0  8.0   0.2619
 4.00 11000.  0.0  8.0   0.0147
 4.50 11000.  0.0  8.0   0.1321
 4.50 11000.  0.0  8.0   0.2544
 4.50 11000.  0.0  8.0   0.0136
 5.00 11000.  0.0  8.0   0.1300
 5.00 11000.  0.0  8.0   0.2497
 5.00 11000.  0.0  8.0   0.0131
 2.50 11250.  0.0  8.0   0.1220
 2.50 11250.  0.0  8.0   0.3001
 2.50 11250.  0.0  8.0   0.0230
 3.00 11250.  0.0  8.0   0.1210
 3.00 11250.  0.0  8.0   0.2835
 3.00 11250.  0.0  8.0   0.0196
 3.50 11250.  0.0  8.0   0.1236
 3.50 11250.  0.0  8.0   0.2710
 3.50 11250.  0.0  8.0   0.0168
 4.00 11250.  0.0  8.0   0.1269
 4.00 11250.  0.0  8.0   0.2610
 4.00 11250.  0.0  8.0   0.0148
 4.50 11250.  0.0  8.0   0.1285
 4.50 11250.  0.0  8.0   0.2534
 4.50 11250.  0.0  8.0   0.0136
 5.00 11250.  0.0  8.0   0.1273
 5.00 11250.  0.0  8.0   0.2483
 5.00 11250.  0.0  8.0   0.0130
 2.50 11500.  0.0  8.0   0.1185
 2.50 11500.  0.0  8.0   0.2989
 2.50 11500.  0.0  8.0   0.0235
 3.00 11500.  0.0  8.0   0.1168
 3.00 11500.  0.0  8.0   0.2813
 3.00 11500.  0.0  8.0   0.0200
 3.50 11500.  0.0  8.0   0.1191
 3.50 11500.  0.0  8.0   0.2688
 3.50 11500.  0.0  8.0   0.0170
 4.00 11500.  0.0  8.0   0.1224
 4.00 11500.  0.0  8.0   0.2593
 4.00 11500.  0.0  8.0   0.0149
 4.50 11500.  0.0  8.0   0.1250
 4.50 11500.  0.0  8.0   0.2516
 4.50 11500.  0.0  8.0   0.0136
 5.00 11500.  0.0  8.0   0.1244
 5.00 11500.  0.0  8.0   0.2468
 5.00 11500.  0.0  8.0   0.0129
 2.50 11750.  0.0  8.0   0.1155
 2.50 11750.  0.0  8.0   0.2981
 2.50 11750.  0.0  8.0   0.0240
 3.00 11750.  0.0  8.0   0.1135
 3.00 11750.  0.0  8.0   0.2787
 3.00 11750.  0.0  8.0   0.0203
 3.50 11750.  0.0  8.0   0.1151
 3.50 11750.  0.0  8.0   0.2663
 3.50 11750.  0.0  8.0   0.0172
 4.00 11750.  0.0  8.0   0.1185
 4.00 11750.  0.0  8.0   0.2571
 4.00 11750.  0.0  8.0   0.0150
 4.50 11750.  0.0  8.0   0.1211
 4.50 11750.  0.0  8.0   0.2503
 4.50 11750.  0.0  8.0   0.0135
 5.00 11750.  0.0  8.0   0.1214
 5.00 11750.  0.0  8.0   0.2453
 5.00 11750.  0.0  8.0   0.0128
 2.50 12000.  0.0  8.0   0.1127
 2.50 12000.  0.0  8.0   0.2976
 2.50 12000.  0.0  8.0   0.0243
 3.00 12000.  0.0  8.0   0.1102
 3.00 12000.  0.0  8.0   0.2766
 3.00 12000.  0.0  8.0   0.0205
 3.50 12000.  0.0  8.0   0.1118
 3.50 12000.  0.0  8.0   0.2632
 3.50 12000.  0.0  8.0   0.0173
 4.00 12000.  0.0  8.0   0.1146
 4.00 12000.  0.0  8.0   0.2546
 4.00 12000.  0.0  8.0   0.0150
 4.50 12000.  0.0  8.0   0.1176
 4.50 12000.  0.0  8.0   0.2480
 4.50 12000.  0.0  8.0   0.0135
 5.00 12000.  0.0  8.0   0.1185
 5.00 12000.  0.0  8.0   0.2433
 5.00 12000.  0.0  8.0   0.0126
 2.50 12250.  0.0  8.0   0.1105
 2.50 12250.  0.0  8.0   0.2972
 2.50 12250.  0.0  8.0   0.0247
 3.00 12250.  0.0  8.0   0.1074
 3.00 12250.  0.0  8.0   0.2748
 3.00 12250.  0.0  8.0   0.0207
 3.50 12250.  0.0  8.0   0.1086
 3.50 12250.  0.0  8.0   0.2605
 3.50 12250.  0.0  8.0   0.0173
 4.00 12250.  0.0  8.0   0.1112
 4.00 12250.  0.0  8.0   0.2519
 4.00 12250.  0.0  8.0   0.0150
 4.50 12250.  0.0  8.0   0.1144
 4.50 12250.  0.0  8.0   0.2455
 4.50 12250.  0.0  8.0   0.0134
 5.00 12250.  0.0  8.0   0.1156
 5.00 12250.  0.0  8.0   0.2413
 5.00 12250.  0.0  8.0   0.0125
 2.50 12500.  0.0  8.0   0.1086
 2.50 12500.  0.0  8.0   0.2971
 2.50 12500.  0.0  8.0   0.0251
 3.00 12500.  0.0  8.0   0.1047
 3.00 12500.  0.0  8.0   0.2734
 3.00 12500.  0.0  8.0   0.0209
 3.50 12500.  0.0  8.0   0.1059
 3.50 12500.  0.0  8.0   0.2577
 3.50 12500.  0.0  8.0   0.0173
 4.00 12500.  0.0  8.0   0.1082
 4.00 12500.  0.0  8.0   0.2487
 4.00 12500.  0.0  8.0   0.0149
 4.50 12500.  0.0  8.0   0.1112
 4.50 12500.  0.0  8.0   0.2428
 4.50 12500.  0.0  8.0   0.0134
 5.00 12500.  0.0  8.0   0.1129
 5.00 12500.  0.0  8.0   0.2387
 5.00 12500.  0.0  8.0   0.0124
 2.50 12750.  0.0  8.0   0.1069
 2.50 12750.  0.0  8.0   0.2971
 2.50 12750.  0.0  8.0   0.0255
 3.00 12750.  0.0  8.0   0.1026
 3.00 12750.  0.0  8.0   0.2721
 3.00 12750.  0.0  8.0   0.0211
 3.50 12750.  0.0  8.0   0.1036
 3.50 12750.  0.0  8.0   0.2553
 3.50 12750.  0.0  8.0   0.0174
 4.00 12750.  0.0  8.0   0.1056
 4.00 12750.  0.0  8.0   0.2458
 4.00 12750.  0.0  8.0   0.0149
 4.50 12750.  0.0  8.0   0.1083
 4.50 12750.  0.0  8.0   0.2400
 4.50 12750.  0.0  8.0   0.0133
 5.00 12750.  0.0  8.0   0.1101
 5.00 12750.  0.0  8.0   0.2364
 5.00 12750.  0.0  8.0   0.0123
 2.50 13000.  0.0  8.0   0.1058
 2.50 13000.  0.0  8.0   0.2969
 2.50 13000.  0.0  8.0   0.0258
 3.00 13000.  0.0  8.0   0.1006
 3.00 13000.  0.0  8.0   0.2710
 3.00 13000.  0.0  8.0   0.0214
 3.50 13000.  0.0  8.0   0.1012
 3.50 13000.  0.0  8.0   0.2532
 3.50 13000.  0.0  8.0   0.0174
 4.00 13000.  0.0  8.0   0.1032
 4.00 13000.  0.0  8.0   0.2430
 4.00 13000.  0.0  8.0   0.0148
 4.50 13000.  0.0  8.0   0.1059
 4.50 13000.  0.0  8.0   0.2369
 4.50 13000.  0.0  8.0   0.0132
 5.00 13000.  0.0  8.0   0.1074
 5.00 13000.  0.0  8.0   0.2338
 5.00 13000.  0.0  8.0   0.0122
 2.50 14000.  0.0  8.0   0.1024
 2.50 14000.  0.0  8.0   0.2982
 2.50 14000.  0.0  8.0   0.0270
 3.00 14000.  0.0  8.0   0.0949
 3.00 14000.  0.0  8.0   0.2679
 3.00 14000.  0.0  8.0   0.0223
 3.50 14000.  0.0  8.0   0.0946
 3.50 14000.  0.0  8.0   0.2461
 3.50 14000.  0.0  8.0   0.0179
 4.00 14000.  0.0  8.0   0.0957
 4.00 14000.  0.0  8.0   0.2332
 4.00 14000.  0.0  8.0   0.0148
 4.50 14000.  0.0  8.0   0.0971
 4.50 14000.  0.0  8.0   0.2264
 4.50 14000.  0.0  8.0   0.0130
 5.00 14000.  0.0  8.0   0.0984
 5.00 14000.  0.0  8.0   0.2231
 5.00 14000.  0.0  8.0   0.0119
 2.50 15000.  0.0  8.0   0.1027
 2.50 15000.  0.0  8.0   0.2997
 2.50 15000.  0.0  8.0   0.0277
 3.00 15000.  0.0  8.0   0.0916
 3.00 15000.  0.0  8.0   0.2665
 3.00 15000.  0.0  8.0   0.0231
 3.50 15000.  0.0  8.0   0.0904
 3.50 15000.  0.0  8.0   0.2411
 3.50 15000.  0.0  8.0   0.0181
 4.00 15000.  0.0  8.0   0.0911
 4.00 15000.  0.0  8.0   0.2254
 4.00 15000.  0.0  8.0   0.0147
 4.50 15000.  0.0  8.0   0.0919
 4.50 15000.  0.0  8.0   0.2168
 4.50 15000.  0.0  8.0   0.0126
 5.00 15000.  0.0  8.0   0.0923
 5.00 15000.  0.0  8.0   0.2129
 5.00 15000.  0.0  8.0   0.0115
 2.50 16000.  0.0  8.0   0.1047
 2.50 16000.  0.0  8.0   0.3034
 2.50 16000.  0.0  8.0   0.0281
 3.00 16000.  0.0  8.0   0.0901
 3.00 16000.  0.0  8.0   0.2665
 3.00 16000.  0.0  8.0   0.0239
 3.50 16000.  0.0  8.0   0.0879
 3.50 16000.  0.0  8.0   0.2378
 3.50 16000.  0.0  8.0   0.0184
 4.00 16000.  0.0  8.0   0.0885
 4.00 16000.  0.0  8.0   0.2193
 4.00 16000.  0.0  8.0   0.0146
 4.50 16000.  0.0  8.0   0.0885
 4.50 16000.  0.0  8.0   0.2093
 4.50 16000.  0.0  8.0   0.0123
 5.00 16000.  0.0  8.0   0.0882
 5.00 16000.  0.0  8.0   0.2045
 5.00 16000.  0.0  8.0   0.0111
 2.50 17000.  0.0  8.0   0.1067
 2.50 17000.  0.0  8.0   0.3109
 2.50 17000.  0.0  8.0   0.0283
 3.00 17000.  0.0  8.0   0.0887
 3.00 17000.  0.0  8.0   0.2688
 3.00 17000.  0.0  8.0   0.0247
 3.50 17000.  0.0  8.0   0.0856
 3.50 17000.  0.0  8.0   0.2366
 3.50 17000.  0.0  8.0   0.0188
 4.00 17000.  0.0  8.0   0.0860
 4.00 17000.  0.0  8.0   0.2154
 4.00 17000.  0.0  8.0   0.0146
 4.50 17000.  0.0  8.0   0.0860
 4.50 17000.  0.0  8.0   0.2035
 4.50 17000.  0.0  8.0   0.0120
 5.00 17000.  0.0  8.0   0.0856
 5.00 17000.  0.0  8.0   0.1973
 5.00 17000.  0.0  8.0   0.0107
 3.00 18000.  0.0  8.0   0.0866
 3.00 18000.  0.0  8.0   0.2745
 3.00 18000.  0.0  8.0   0.0258
 3.50 18000.  0.0  8.0   0.0838
 3.50 18000.  0.0  8.0   0.2367
 3.50 18000.  0.0  8.0   0.0194
